,Bx,By,Bz
277,-1.96659,-13.1735,-2.89331
278,-1.96256,-13.1806,-2.68846
279,-1.75576,-13.0359,-3.07201
280,-1.78213,-13.0397,-3.0611
281,-2.24546,-12.9993,-3.07263
282,-1.99895,-13.0511,-2.84157
283,-1.82375,-13.0515,-2.72002
284,-1.757,-13.0546,-2.69303
285,-1.57223,-13.2348,-2.14954
286,-1.58436,-13.4057,-1.24883
287,-1.32463,-13.4375,-0.706935
288,-1.12414,-13.46,-0.186258
289,-1.0756,-13.506,-0.201995
290,-1.17914,-13.4741,-0.763268
291,-1.20205,-13.4643,-0.937801
292,-1.33061,-13.443,-1.20117
293,-1.16407,-13.5044,-0.628688
294,-1.37252,-13.4767,-1.07384
295,-1.4875,-13.4153,-1.78024
296,-1.5765,-13.3696,-2.05656
297,-1.62306,-13.2698,-2.53864
298,-1.60861,-13.233,-2.54713
299,-0.998671,-13.4551,-1.14322
300,-0.299015,-13.5551,0.1247
301,-0.106515,-13.5432,0.242381
302,-0.454319,-13.5532,-0.12281
303,-0.994048,-13.4808,-1.20967
304,-1.16429,-13.4627,-1.44505
305,-1.07946,-13.4786,-1.53046
306,-0.963757,-13.4927,-1.13155
307,-0.771716,-13.5341,-0.689202
308,-0.8489,-13.4874,-1.46933
309,-1.58414,-13.0823,-3.43264
310,-1.94903,-12.8473,-4.13221
311,-1.53323,-13.2153,-3.15417
312,-1.46943,-13.1984,-3.34473
313,-1.3996,-13.2318,-3.17678
314,-1.5118,-13.1699,-3.35759
315,-1.59229,-13.2553,-2.97897
316,-1.61456,-13.2402,-3.0246
317,-1.36476,-13.1683,-3.49029
318,-1.19356,-13.3345,-3.06353
319,-0.757855,-13.5621,-1.93794
320,-0.283488,-13.716,-0.917843
321,-0.476421,-13.6757,-1.1284
322,-0.509324,-13.6952,-0.626042
323,-0.300839,-13.753,-0.0805059
324,-0.378376,-13.7514,-0.0377095
325,-0.483063,-13.7531,-0.537099
326,-0.722131,-13.7262,-0.784218
327,-0.491991,-13.6216,-1.3616
328,-0.221362,-12.8987,-4.18073
329,-0.0957279,-12.57,-5.09035
330,0.017369,-12.3099,-5.60976
331,-0.263354,-12.3778,-5.42211
332,-0.305353,-12.3888,-5.35807
333,-0.469484,-12.4796,-5.0431
334,-0.344958,-12.5402,-4.95794
335,-0.606097,-12.6081,-4.66077
336,-0.426159,-12.7474,-4.28909
337,-0.387736,-12.8298,-4.06291
338,-0.64701,-13.0485,-3.13096
339,-0.339533,-12.8342,-3.72273
340,-0.495045,-12.7059,-4.20012
341,-0.139365,-12.7348,-3.9861
342,-0.245583,-12.6909,-4.08868
343,-1.05962,-12.9395,-3.19716
344,-1.47061,-13.0166,-2.60555
345,-0.606672,-12.5509,-4.40866
346,-0.528079,-12.5629,-4.62942
347,-0.683119,-12.6845,-4.22706
348,-1.04958,-12.9168,-3.38096
349,-1.34366,-13.1165,-2.50715
350,-1.14198,-13.0981,-2.92487
351,-1.48317,-13.1647,-2.19941
352,-2.20459,-12.9617,-2.84295
353,-1.84735,-13.266,-1.99823
354,-2.22269,-13.2779,-1.84503
355,-2.4402,-13.1784,-2.34459
356,-2.0799,-13.3042,-1.88206
357,-2.02321,-13.2433,-2.22755
358,-1.97672,-13.3539,-1.48656
359,-1.85775,-13.4167,-1.16151
360,-1.96247,-13.4051,-0.894114
361,-1.95485,-13.4235,-0.545138
362,-1.82278,-13.4142,-0.871463
363,-1.7948,-13.4663,-0.762907
364,-2.11306,-13.3512,0.351496
365,-2.36452,-13.2657,0.903809
366,-1.91076,-13.0351,-1.19375
367,-1.79374,-13.0061,-1.72109
368,-1.80081,-12.7994,-2.61069
369,-1.99327,-12.9761,-1.97522
370,-1.85707,-12.8483,-2.57987
371,-1.86923,-12.6867,-2.68039
372,-2.03963,-12.4714,-3.19249
373,-1.98793,-12.9252,-2.23922
374,-1.85756,-13.0505,-2.42248
375,-1.83336,-12.9758,-2.56389
376,-1.69303,-13.0308,-2.23257
377,-1.59691,-13.1822,-1.67163
378,-1.9725,-13.2059,-1.85854
379,-1.7577,-13.1229,-2.46682
380,-1.74224,-13.249,-2.52209
381,-1.79714,-13.0782,-3.01098
382,-2.10872,-12.9281,-3.42427
383,-2.19576,-13.1629,-2.57741
384,-1.92214,-13.3538,-1.72962
385,-2.30026,-13.3282,-0.896874
386,-2.24706,-13.3908,-0.570661
387,-2.27006,-13.3877,-0.142614
388,-2.16522,-13.4273,-0.503984
389,-2.0952,-13.4752,-0.502702
390,-2.2443,-13.3684,-0.641571
391,-2.10943,-13.4092,-0.799974
392,-2.12335,-13.497,-1.13893
393,-2.70899,-13.3268,-0.356744
394,-2.63819,-13.387,-0.08649
395,-2.43779,-13.3527,0.639462
396,-2.89632,-13.1938,0.124667
397,-3.33188,-13.0569,0.756724
398,-2.7596,-13.0927,1.83557
399,-2.76898,-13.2193,0.754216
400,-2.81378,-13.2745,-0.090217
401,-2.49116,-13.3989,0.349069
402,-2.64791,-13.6911,-0.181127
403,-2.5821,-13.7032,-0.597135
404,-2.9282,-13.7099,-0.652462
405,-2.72255,-13.8489,-1.00484
406,-2.5035,-13.9224,-0.507128
407,-2.6153,-13.7718,-1.20913
408,-2.64641,-13.7043,-1.85839
409,-2.52798,-13.5307,-2.72153
410,-2.29111,-13.8832,-1.59656
